model name is decoder 
queue 8.79  s, infer 42.24 s, input 1.17  s, output 1.38  s 
Batch_size 1 , 9794  times, infer 2783.26   ms, avg 0.28 ms, 0.28 ms input 100.80    ms, avg 0.01 ms, output 93.56     ms, avg 0.01 ms 
Batch_size 43, 2     times, infer 1485.74   ms, avg 742.87 ms, 17.28 ms input 6.17      ms, avg 3.09 ms, output 3.68      ms, avg 1.84 ms 
Batch_size 44, 5     times, infer 2629.28   ms, avg 525.86 ms, 11.95 ms input 8.97      ms, avg 1.79 ms, output 10.16     ms, avg 2.03 ms 
Batch_size 45, 7     times, infer 4461.04   ms, avg 637.29 ms, 14.16 ms input 11.30     ms, avg 1.61 ms, output 14.45     ms, avg 2.06 ms 
Batch_size 46, 7     times, infer 3470.58   ms, avg 495.80 ms, 10.78 ms input 11.07     ms, avg 1.58 ms, output 16.03     ms, avg 2.29 ms 
Batch_size 47, 9     times, infer 2821.14   ms, avg 313.46 ms, 6.67 ms input 10.60     ms, avg 1.18 ms, output 18.57     ms, avg 2.06 ms 
Batch_size 48, 5     times, infer 1856.44   ms, avg 371.29 ms, 7.74 ms input 10.29     ms, avg 2.06 ms, output 11.50     ms, avg 2.30 ms 
Batch_size 49, 1     times, infer 427.81    ms, avg 427.81 ms, 8.73 ms input 2.02      ms, avg 2.02 ms, output 2.44      ms, avg 2.44 ms 
Batch_size 50, 2     times, infer 993.94    ms, avg 496.97 ms, 9.94 ms input 1.59      ms, avg 0.79 ms, output 5.65      ms, avg 2.82 ms 
Batch_size 51, 3     times, infer 3006.00   ms, avg 1002.00 ms, 19.65 ms input 4.78      ms, avg 1.59 ms, output 7.78      ms, avg 2.59 ms 
Batch_size 52, 3     times, infer 1508.17   ms, avg 502.72 ms, 9.67 ms input 3.21      ms, avg 1.07 ms, output 6.63      ms, avg 2.21 ms 
Batch_size 53, 3     times, infer 2349.39   ms, avg 783.13 ms, 14.78 ms input 14.55     ms, avg 4.85 ms, output 8.54      ms, avg 2.85 ms 
Batch_size 54, 8     times, infer 6634.85   ms, avg 829.36 ms, 15.36 ms input 9.08      ms, avg 1.14 ms, output 22.28     ms, avg 2.78 ms 
Batch_size 55, 2     times, infer 1327.73   ms, avg 663.87 ms, 12.07 ms input 3.28      ms, avg 1.64 ms, output 5.55      ms, avg 2.78 ms 
Batch_size 56, 1     times, infer 540.92    ms, avg 540.92 ms, 9.66 ms input 1.00      ms, avg 1.00 ms, output 4.06      ms, avg 4.06 ms 
Batch_size 57, 1     times, infer 542.58    ms, avg 542.58 ms, 9.52 ms input 2.08      ms, avg 2.08 ms, output 2.81      ms, avg 2.81 ms 
Batch_size 58, 4     times, infer 2714.01   ms, avg 678.50 ms, 11.70 ms input 4.96      ms, avg 1.24 ms, output 11.66     ms, avg 2.92 ms 
Batch_size 59, 5     times, infer 4130.34   ms, avg 826.07 ms, 14.00 ms input 12.13     ms, avg 2.43 ms, output 14.23     ms, avg 2.85 ms 
Batch_size 60, 1     times, infer 1101.82   ms, avg 1101.82 ms, 18.36 ms input 1.64      ms, avg 1.64 ms, output 3.62      ms, avg 3.62 ms 
Batch_size 63, 3     times, infer 2212.13   ms, avg 737.38 ms, 11.70 ms input 5.74      ms, avg 1.91 ms, output 10.34     ms, avg 3.45 ms 
Batch_size 64, 1     times, infer 420.21    ms, avg 420.21 ms, 6.57 ms input 1.06      ms, avg 1.06 ms, output 3.08      ms, avg 3.08 ms 
Batch_size 65, 1     times, infer 847.36    ms, avg 847.36 ms, 13.04 ms input 3.06      ms, avg 3.06 ms, output 3.01      ms, avg 3.01 ms 
Batch_size 66, 1     times, infer 1015.81   ms, avg 1015.81 ms, 15.39 ms input 2.51      ms, avg 2.51 ms, output 3.55      ms, avg 3.55 ms 
Batch_size 67, 2     times, infer 1916.48   ms, avg 958.24 ms, 14.30 ms input 2.04      ms, avg 1.02 ms, output 6.59      ms, avg 3.29 ms 
Batch_size 68, 3     times, infer 1747.55   ms, avg 582.52 ms, 8.57 ms input 14.78     ms, avg 4.93 ms, output 9.46      ms, avg 3.15 ms 
Batch_size 70, 1     times, infer 501.03    ms, avg 501.03 ms, 7.16 ms input 1.04      ms, avg 1.04 ms, output 3.72      ms, avg 3.72 ms 
Batch_size 71, 1     times, infer 877.44    ms, avg 877.44 ms, 12.36 ms input 1.11      ms, avg 1.11 ms, output 4.52      ms, avg 4.52 ms 
Batch_size 73, 1     times, infer 676.18    ms, avg 676.18 ms, 9.26 ms input 1.03      ms, avg 1.03 ms, output 3.30      ms, avg 3.30 ms 
Batch_size 75, 1     times, infer 493.51    ms, avg 493.51 ms, 6.58 ms input 4.52      ms, avg 4.52 ms, output 3.47      ms, avg 3.47 ms 
Batch_size 76, 3     times, infer 1664.16   ms, avg 554.72 ms, 7.30 ms input 6.78      ms, avg 2.26 ms, output 10.19     ms, avg 3.40 ms 
Batch_size 77, 1     times, infer 689.33    ms, avg 689.33 ms, 8.95 ms input 4.75      ms, avg 4.75 ms, output 3.57      ms, avg 3.57 ms 
Batch_size 78, 2     times, infer 1623.95   ms, avg 811.97 ms, 10.41 ms input 3.21      ms, avg 1.61 ms, output 7.30      ms, avg 3.65 ms 
Batch_size 80, 1     times, infer 632.73    ms, avg 632.73 ms, 7.91 ms input 1.28      ms, avg 1.28 ms, output 3.69      ms, avg 3.69 ms 
Batch_size 81, 4     times, infer 3490.63   ms, avg 872.66 ms, 10.77 ms input 7.84      ms, avg 1.96 ms, output 17.61     ms, avg 4.40 ms 
Batch_size 82, 6     times, infer 4859.70   ms, avg 809.95 ms, 9.88 ms input 20.67     ms, avg 3.44 ms, output 25.55     ms, avg 4.26 ms 
Batch_size 84, 1     times, infer 577.54    ms, avg 577.54 ms, 6.88 ms input 3.68      ms, avg 3.68 ms, output 4.46      ms, avg 4.46 ms 
Batch_size 87, 1     times, infer 713.64    ms, avg 713.64 ms, 8.20 ms input 2.18      ms, avg 2.18 ms, output 4.56      ms, avg 4.56 ms 
Batch_size 93, 1     times, infer 762.84    ms, avg 762.84 ms, 8.20 ms input 4.01      ms, avg 4.01 ms, output 5.15      ms, avg 5.15 ms 
Batch_size 94, 1     times, infer 885.19    ms, avg 885.19 ms, 9.42 ms input 2.99      ms, avg 2.99 ms, output 4.61      ms, avg 4.61 ms 
Batch_size 95, 2     times, infer 1680.30   ms, avg 840.15 ms, 8.84 ms input 3.68      ms, avg 1.84 ms, output 10.09     ms, avg 5.05 ms 
Batch_size 96, 1     times, infer 814.58    ms, avg 814.58 ms, 8.49 ms input 1.78      ms, avg 1.78 ms, output 5.46      ms, avg 5.46 ms 
Batch_size 99, 1     times, infer 1210.87   ms, avg 1210.87 ms, 12.23 ms input 3.64      ms, avg 3.64 ms, output 5.75      ms, avg 5.75 ms 
Batch_size 100, 2     times, infer 2336.86   ms, avg 1168.43 ms, 11.68 ms input 5.11      ms, avg 2.56 ms, output 8.95      ms, avg 4.47 ms 
Batch_size 103, 1     times, infer 700.65    ms, avg 700.65 ms, 6.80 ms input 1.57      ms, avg 1.57 ms, output 4.75      ms, avg 4.75 ms 
Batch_size 105, 1     times, infer 561.20    ms, avg 561.20 ms, 5.34 ms input 2.07      ms, avg 2.07 ms, output 4.52      ms, avg 4.52 ms 
Batch_size 108, 2     times, infer 1815.23   ms, avg 907.62 ms, 8.40 ms input 3.27      ms, avg 1.64 ms, output 13.82     ms, avg 6.91 ms 
Batch_size 113, 1     times, infer 691.13    ms, avg 691.13 ms, 6.12 ms input 3.82      ms, avg 3.82 ms, output 4.45      ms, avg 4.45 ms 
Batch_size 115, 2     times, infer 1060.57   ms, avg 530.29 ms, 4.61 ms input 4.13      ms, avg 2.07 ms, output 11.08     ms, avg 5.54 ms 
Batch_size 116, 1     times, infer 955.47    ms, avg 955.47 ms, 8.24 ms input 1.09      ms, avg 1.09 ms, output 6.09      ms, avg 6.09 ms 
Batch_size 117, 1     times, infer 869.61    ms, avg 869.61 ms, 7.43 ms input 2.39      ms, avg 2.39 ms, output 5.22      ms, avg 5.22 ms 
Batch_size 119, 1     times, infer 585.94    ms, avg 585.94 ms, 4.92 ms input 3.04      ms, avg 3.04 ms, output 5.59      ms, avg 5.59 ms 
Batch_size 121, 1     times, infer 805.20    ms, avg 805.20 ms, 6.65 ms input 2.52      ms, avg 2.52 ms, output 5.96      ms, avg 5.96 ms 
Batch_size 122, 2     times, infer 1135.34   ms, avg 567.67 ms, 4.65 ms input 4.49      ms, avg 2.25 ms, output 9.48      ms, avg 4.74 ms 
Batch_size 125, 1     times, infer 1011.83   ms, avg 1011.83 ms, 8.09 ms input 1.80      ms, avg 1.80 ms, output 8.46      ms, avg 8.46 ms 
Batch_size 130, 1     times, infer 700.32    ms, avg 700.32 ms, 5.39 ms input 3.11      ms, avg 3.11 ms, output 5.43      ms, avg 5.43 ms 
Batch_size 134, 1     times, infer 773.13    ms, avg 773.13 ms, 5.77 ms input 2.02      ms, avg 2.02 ms, output 5.92      ms, avg 5.92 ms 
Batch_size 135, 1     times, infer 914.42    ms, avg 914.42 ms, 6.77 ms input 3.02      ms, avg 3.02 ms, output 7.10      ms, avg 7.10 ms 
Batch_size 137, 1     times, infer 601.46    ms, avg 601.46 ms, 4.39 ms input 2.23      ms, avg 2.23 ms, output 5.01      ms, avg 5.01 ms 
Batch_size 141, 1     times, infer 630.81    ms, avg 630.81 ms, 4.47 ms input 2.11      ms, avg 2.11 ms, output 7.01      ms, avg 7.01 ms 
Batch_size 142, 1     times, infer 809.65    ms, avg 809.65 ms, 5.70 ms input 2.43      ms, avg 2.43 ms, output 6.30      ms, avg 6.30 ms 
Batch_size 145, 1     times, infer 1183.05   ms, avg 1183.05 ms, 8.16 ms input 2.37      ms, avg 2.37 ms, output 8.29      ms, avg 8.29 ms 
Batch_size 147, 2     times, infer 1517.21   ms, avg 758.61 ms, 5.16 ms input 9.02      ms, avg 4.51 ms, output 11.52     ms, avg 5.76 ms 
Batch_size 149, 2     times, infer 1582.91   ms, avg 791.46 ms, 5.31 ms input 8.11      ms, avg 4.06 ms, output 15.54     ms, avg 7.77 ms 
Batch_size 151, 1     times, infer 737.55    ms, avg 737.55 ms, 4.88 ms input 2.32      ms, avg 2.32 ms, output 6.23      ms, avg 6.23 ms 
Batch_size 160, 1     times, infer 806.06    ms, avg 806.06 ms, 5.04 ms input 2.42      ms, avg 2.42 ms, output 8.70      ms, avg 8.70 ms 
Batch_size 169, 2     times, infer 1580.07   ms, avg 790.03 ms, 4.67 ms input 5.71      ms, avg 2.86 ms, output 11.91     ms, avg 5.96 ms 
Batch_size 173, 1     times, infer 571.98    ms, avg 571.98 ms, 3.31 ms input 10.30     ms, avg 10.30 ms, output 7.31      ms, avg 7.31 ms 
Batch_size 181, 1     times, infer 658.38    ms, avg 658.38 ms, 3.64 ms input 3.08      ms, avg 3.08 ms, output 7.28      ms, avg 7.28 ms 
Batch_size 182, 1     times, infer 589.93    ms, avg 589.93 ms, 3.24 ms input 3.72      ms, avg 3.72 ms, output 7.83      ms, avg 7.83 ms 
model name is transducer 
queue 0.03  s, infer 24893.95 s, input 124.34 s, output 124.01 s 
Batch_size 1 , 21528 times, infer 24893947.63 ms, avg 1156.35 ms, 1156.35 ms input 124340.76 ms, avg 5.78 ms, output 124011.76 ms, avg 5.76 ms 
